list_name,familia,name,label
genero,Urticaceae,Cecropia,<span>_Cecropia_</span>
genero,Meliaceae,Cedrela,<span>_Cedrela_</span>
genero,Malvaceae,Ceiba,<span>_Ceiba_</span>
genero,Celastraceae,Celastrus,<span>_Celastrus_</span>
genero,Amaranthaceae,Celosia,<span>_Celosia_</span>
genero,Cannabaceae,Celtis,<span>_Celtis_</span>
genero,Poaceae,Cenchrus,<span>_Cenchrus_</span>
genero,Fabaceae,Cenostigma,<span>_Cenostigma_</span>
genero,Apiaceae,Centella,<span>_Centella_</span>
genero,Asteraceae,Centratherum,<span>_Centratherum_</span>
genero,Orchidaceae,Centroglossa,<span>_Centroglossa_</span>
genero,Fabaceae,Centrolobium,<span>_Centrolobium_</span>
genero,Campanulaceae,Centropogon,<span>_Centropogon_</span>
genero,Fabaceae,Centrosema,<span>_Centrosema_</span>
genero,Rapateaceae,Cephalostemon,<span>_Cephalostemon_</span>
genero,Caryophyllaceae,Cerastium,<span>_Cerastium_</span>
genero,Podostemaceae,Ceratolacis,<span>_Ceratolacis_</span>
genero,Cucurbitaceae,Ceratosanthes,<span>_Ceratosanthes_</span>
genero,Cactaceae,Cereus,<span>_Cereus_</span>
genero,Solanaceae,Cestrum,<span>_Cestrum_</span>
genero,Apiaceae,Chaerophyllum,<span>_Chaerophyllum_</span>
genero,Fabaceae,Chaetocalyx,<span>_Chaetocalyx_</span>
genero,Peraceae,Chaetocarpus,<span>_Chaetocarpus_</span>
genero,Melastomataceae,Chaetogastra,<span>_Chaetogastra_</span>
genero,Melastomataceae,Chaetostoma,<span>_Chaetostoma_</span>
genero,Costaceae,Chamaecostus,<span>_Chamaecostus_</span>
genero,Fabaceae,Chamaecrista,<span>_Chamaecrista_</span>
genero,Acanthaceae,Chamaeranthemum,<span>_Chamaeranthemum_</span>
genero,Amaranthaceae,Chamissoa,<span>_Chamissoa_</span>
genero,Asteraceae,Chaptalia,<span>_Chaptalia_</span>
genero,Poaceae,Chascolytrum,<span>_Chascolytrum_</span>
genero,Gesneriaceae,Chautemsia,<span>_Chautemsia_</span>
genero,Celastraceae,Cheiloclinium,<span>_Cheiloclinium_</span>
genero,Gentianaceae,Chelonanthus,<span>_Chelonanthus_</span>
genero,Amaranthaceae,Chenopodium,<span>_Chenopodium_</span>
genero,Asteraceae,Chevreulia,<span>_Chevreulia_</span>
