"Specie","Author1","Author2"
"Mimosa selloi","Benth.",NA
"Mimosa sparsiformis","Barneby",NA
"Mimosa strobiliflora","Burkart",NA
"Mimosa taimbensis","Burkart",NA
"Mimosa trichocephala","Benth.",NA
"Mimosa uliginosa","Chodat & Hassl.",NA
"Mimosa widgrenii","Harms",NA
"Neptunia pubescens","Benth.",NA
"Piptadenia affinis","Burkart",NA
"Piptadenia micracantha","Benth.",NA
"Piptadenia polyptera","Benth.",NA
"Pseudopiptadenia inaequalis","(Benth.) Rauschert",NA
"Pseudopiptadenia schumanniana","(Taub.) G.P.Lewis & M.P.Lima",NA
"Senegalia",NA,NA
"Senegalia bahiensis","(Benth.) Seigler & Ebinger",NA
"Senegalia catharinensis","(Burkart) Seigler & Ebinger",NA
"Senegalia giganticarpa","(G.P.Lewis) Seigler & Ebinger",NA
"Senegalia grandistipula","(Benth.) Seigler & Ebinger",NA
"Senegalia kallunkiae","(J.W.Grimes & Barneby) Seigler & Ebinger",NA
"Senegalia lacerans","(Benth.) Seigler & Ebinger",NA
"Senegalia langsdorffii","(Benth.) Seigler & Ebinger",NA
"Senegalia limae","(Bocage & Miotto) L.P.Queiroz",NA
"Senegalia magnibracteosa","(Burkart) Seigler & Ebinger",NA
"Senegalia martii","(Benth.) Seigler & Ebinger",NA
"Senegalia martiusiana","(Steud.) Seigler & Ebinger",NA
"Senegalia miersii","(Benth.) Seigler & Ebinger",NA
"Senegalia mikanii","(Benth.) Seigler & Ebinger",NA
"Senegalia nitidifolia","(Speg.) Seigler & Ebinger",NA
"Senegalia olivensana","(G.P.Lewis) Seigler & Ebinger",NA
"Senegalia pedicellata","(Benth.) Seigler & Ebinger",NA
"Senegalia piptadenioides","(G.P.Lewis) Seigler & Ebinger",NA
"Senegalia polyphylla","(DC.) Britton & Rose",NA
"Senegalia pteridifolia","(Benth.) Seigler & Ebinger",NA
"Senegalia recurva","(Benth.) Seigler & Ebinger",NA
"Senegalia riparia","(Kunth) Britton & Rose ex Britton & Killip",NA
"Senegalia serra","(Benth.) Seigler & Ebinger",NA
"Senegalia tenuifolia","(L.) Britton & Rose",NA
"Senegalia tucumanensis","(Griseb.) Seigler & Ebinger",NA
"Senegalia velutina","(DC.) Seigler & Ebinger",NA
"Senegalia lasiophylla","(Benth.) Seigler & Ebinger",NA
"Senegalia monacantha","(Willd.) Seigler & Ebinger",NA
"Stryphnodendron roseiflorum","(Ducke) Ducke",NA
"Adesmia",NA,NA
"Adesmia araujoi","Burkart",NA
"Adesmia arillata","Miotto",NA
"Adesmia ciliata","Vogel",NA
"Adesmia incana","Vogel",NA
"Adesmia latifolia","(Spreng.) Vogel",NA
"Adesmia paranensis","Burkart",NA
"Adesmia psoraleoides","Vogel",NA
"Adesmia punctata","(Poir.) DC.",NA
"Adesmia reitziana","Burkart",NA
"Adesmia rocinhensis","Burkart",NA
"Adesmia sulina","Miotto",NA
"Adesmia tristis","Vogel",NA
"Adesmia vallsii","Miotto",NA
"Aeschynomene bradei","Rudd",NA
"Aeschynomene denticulata","Rudd",NA
"Aeschynomene fructipendula","Abruzzi de Oliveira",NA
"Arachis burkartii","Handro",NA
"Bionia",NA,NA
"Bionia bella","Mart. ex Benth.",NA
"Bionia coccinea","Mart. ex Benth.",NA
"Bionia coriacea","(Nees & Mart.) Benth.",NA
"Bionia tomentosa","(Benth.) L.P.Queiroz",NA
"Camptosema rubicundum","Hook. & Arn.",NA
"Canavalia bonariensis","Lindl.",NA
"Canavalia mattogrossensis","(Barb.Rodr.) Malme",NA
"Centrosema jaraguaense","Hoehne",NA
"Chaetocalyx nigricans","Burkart",NA
"Chaetocalyx tomentosa","(Gardner) Rudd",NA
"Clitoria nana","Benth.",NA
"Collaea cipoensis","Fortunato",NA
"Collaea stenophylla","(Hook. & Arn.) Benth.",NA
"Cratylia intermedia","(Hassl.) L.P.Queiroz & R.Monteiro",NA
"Dahlstedtia",NA,NA
"Dahlstedtia pinnata","(Benth.) Malme",NA
"Dalbergia ernest-ulei","Hoehne",NA
"Dalbergia glaziovii","Harms",NA
"Dalbergia lateriflora","Benth.",NA
"Deguelia costata","(Benth.) A.M.G.Azevedo & R.A.Camargo",NA
"Deguelia dasycalyx","(Harms) A.M.G.Azevedo & R.A.Camargo",NA
"Desmodium arechavaletae","Burkart",NA
"Desmodium craspediferum","A.M.G.Azevedo & Abruzzi de Oliveira",NA
"Desmodium guaraniticum","(Chodat & Hassl.) Malme",NA
"Desmodium polygaloides","Chodat & Hassl.",NA
"Desmodium triarticulatum","Malme",NA
"Desmodium venosum","Vogel",NA
"Dioclea burkartii","R.H.Maxwell",NA
"Dioclea grandistipula","L.P.Queiroz",NA
"Dioclea schottii","Benth.",NA
"Eriosema platycarpon","Micheli",NA
"Exostyles glabra","Vogel",NA
"Galactia benthamiana","Micheli",NA
"Galactia martioides","Burkart",NA
"Galactia paraguariensis","Chodat & Hassl.",NA
"Indigofera sabulicola","Benth.",NA
"Lathyrus",NA,NA
"Lathyrus acutifolius","Vogel",NA
"Lathyrus crassipes","Gillies ex Hook. & Arn.",NA
"Lathyrus elegans","Vogel",NA
"Lathyrus hasslerianus","Burkart",NA
"Lathyrus hookeri","G.Don",NA
"Lathyrus linearifolius","Vogel",NA
"Lathyrus macrostachys","Vogel",NA
"Lathyrus nervosus","Lam.",NA
"Lathyrus nitens","Vogel",NA
"Lathyrus paraguariensis","Hassl.",NA
"Lathyrus paranensis","Burkart",NA
"Lathyrus parodii","Burkart",NA
"Lathyrus pubescens","Hook. & Arn.",NA
"Leptolobium bijugum","(Spreng.) Vogel",NA
"Leptolobium brachystachyum","(Benth.) Sch.Rodr. & A.M.G.Azevedo",NA
"Leptolobium dasycarpum","Vogel",NA
"Leptolobium glaziovianum","(Harms) Sch.Rodr. & A.M.G.Azevedo",NA
"Leptolobium tenuifolium","Vogel",NA
"Lonchocarpus latifolius","(Willd.) DC.",NA
"Lonchocarpus nitidus","(Vogel) Benth.",NA
"Luetzelburgia guaissara","Toledo",NA
"Luetzelburgia trialata","(Ducke) Ducke",NA
"Lupinus albescens","Hook. & Arn.",NA
"Lupinus bracteolaris","Desr.",NA
"Lupinus dusenianus","C.P.Sm.",NA
"Lupinus gibertianus","C.P.Sm.",NA
"Lupinus lanatus","Benth.",NA
"Lupinus linearis","Desr.",NA
"Lupinus magnistipulatus","Burkart ex Planchuelo & D.B.Dunn",NA
"Lupinus multiflorus","Desr.",NA
"Lupinus ovalifolius","Benth.",NA
"Lupinus paraguariensis","Chodat & Hassl.",NA
"Lupinus paranensis","C.P.Sm.",NA
"Lupinus prouvensalanus","C.P.Sm.",NA
"Lupinus regnellianus","C.P.Sm.",NA
"Lupinus reitzii","Burkart ex M.Pinheiro & Miotto",NA
"Lupinus rubriflorus","Planchuelo",NA
"Lupinus russellianus","C.P.Sm.",NA
"Lupinus uleanus","C.P.Sm.",NA
"Machaerium cantarellianum","Hoehne",NA
"Machaerium caratinganum","Kuhlm. & Hoehne",NA
"Machaerium declinatum","(Vell.) Stellfeld",NA
"Machaerium firmum","(Vell.) Benth.",NA
"Machaerium glabrum","Vogel",NA
"Machaerium gracile","Benth.",NA
"Machaerium hatschbachii","Rudd",NA
"Machaerium legale","(Vell.) Benth.",NA
"Machaerium macaense","C.V. Mendonça, A.M.G. Azevedo & H.C. Lima",NA
"Machaerium obovatum","Kuhlm. & Hoehne",NA
"Machaerium reticulatum","(Poir.) Pers.",NA
"Machaerium ruddianum","C.V.Mendonça & A.M.G.Azevedo",NA
"Machaerium ternatum","Kuhlm. & Hoehne",NA
"Macroptilium psammodes","(Lindm.) S.I. Drewes & R.A. Palacios",NA
"Mucuna japira","A.M.G.Azevedo et al.",NA
"Myrocarpus leprosus","Pickel",NA
"Ormosia friburgensis","Taub. ex Glaz.",NA
"Ormosia minor","Vogel",NA
"Ormosia ruddiana","Yakovlev",NA
"Oryxis",NA,NA
"Oryxis monticola","(Mart. ex Benth.) A.Delgado & G.P.Lewis",NA
"Phaseolus lunatus","L.",NA
"Rhynchosia diversifolia","Micheli",NA
"Rhynchosia hauthalii","Harms ex Kuntze",NA
"Rhynchosia lateritia","Burkart",NA
"Rhynchosia leucophylla","Benth.",NA
"Rhynchosia lineata","Benth.",NA
"Rhynchosia rojasii","Hassl.",NA
"Rhynchosia senna","Gillies ex Hook.",NA
"Sesbania punicea","(Cav.) Benth.",NA
"Swartzia capixabensis","Mansano",NA
"Swartzia glazioviana","(Taub.) Glaz.",NA
"Swartzia oblata","R.S.Cowan",NA
"Swartzia polita","(R.S.Cowan) Torke",NA
"Swartzia submarginata","(Benth.) Mansano",NA
"Tephrosia sessiliflora","(Poir.) Hassl.",NA
"Tephrosia sinapou","(Buc'hoz) A.Chev.",NA
"Tephrosia vogelii","Hook.f.",NA
"Trifolium",NA,NA
"Trifolium riograndense","Burkart",NA
"Vicia",NA,NA
"Vicia graminea","Sm.",NA
"Vicia linearifolia","Hook. & Arn.",NA
"Vicia montevidensis","Vogel",NA
"Vicia nana","Vogel",NA
"Vicia stenophylla","Vogel",NA
"Vicia tephrosioides","Vogel",NA
"Zollernia glaziovii","Yakovlev",NA
"Zollernia cowanii","Mansano",NA
"Zornia multinervosa","Burkart ex N.M.Bacigal.",NA
"Zornia trachycarpa","Vogel",NA
"Luetzelburgia harleyi","D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima",NA
"Luetzelburgia purpurea","D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima",NA
"Luetzelburgia neurocarpa","D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima",NA
"Swartzia parvipetala","(R.S.Cowan) Mansano",NA
"Swartzia submarginata var. submarginata","(Benth.) Mansano",NA
"Swartzia submarginata var. leiogyna","(Benth.) Mansano","(Benth.) Mansano"
"Swartzia multijuga var. multijuga","Vogel",NA
"Swartzia juruana","Torke",NA
"Swartzia brachyrachis var. brachyrachis","Harms",NA
"Swartzia anomala","R.S.Cowan",NA
"Swartzia emarginata","(Ducke) Torke",NA
"Swartzia glabrata","(R.S.Cowan) Torke",NA
"Swartzia klugii","(R.S.Cowan) Torke",NA
"Swartzia psilonema","Harms",NA
"Swartzia rosea","Mart. ex Benth.",NA
"Swartzia kuhlmannii","Hoehne",NA
"Swartzia amazonica var. amazonica","S.Moore",NA
"Vachellia",NA,NA
"Swartzia flavescens","Suess.",NA
"Swartzia microstylis","Benth.",NA
"Senegalia alemquerensis","(Huber) Seigler & Ebinger",NA
"Senegalia altiscandens","(Ducke) Seigler & Ebinger",NA
"Senegalia amazonica","(Benth.) Seigler & Ebinger",NA
"Senegalia huberi","(Ducke) Seigler & Ebinger",NA
"Senegalia kuhlmannii","(Ducke) Seigler & Ebinger",NA
"Senegalia mattogrossensis","(Malme) Seigler & Ebinger",NA
"Senegalia multipinnata","(Ducke) Seigler & Ebinger",NA
"Senegalia paraensis","(Ducke) Seigler & Ebinger",NA
"Senegalia piauhiensis","(Benth.) Seigler & Ebinger",NA
"Senegalia scandens","Seigler & Ebinger",NA
"Senegalia stenocarpa","Seigler & Ebinger",NA
"Swartzia simplex var. continentalis","(Sw.) Spreng.","Urb."
"Swartzia vaupesiana","R.S.Cowan",NA
"Swartzia gigantea","R.S.Cowan",NA
"Swartzia manausensis","Torke",NA
"Zollernia grandifolia","Schery",NA
"Senegalia grandisiliqua","(Benth.) Seigler & Ebinger",NA
"Senegalia latifoliola","(Kuntze) Seigler & Ebinger",NA
"Senegalia lowei","(L.Rico) Seigler & Ebinger",NA
"Bionia pedicellata","(Benth.) L.P.Queiroz",NA
"Bionia coccinea var. coccinea","Mart. ex Benth.",NA
"Bionia coccinea var. nitens","Mart. ex Benth.","(Benth.) L.P.Queiroz"
"Senegalia globosa","(Bocage & Miotto) L.P.Queiroz",NA
"Senegalia lewisii","(Bocage & Miotto) L.P.Queiroz",NA
"Senegalia ricoae","(Bocage & Miotto) L.P.Queiroz",NA
"Moldenhawera papillanthera","L.P.Queiroz et al.",NA
"Moldenhawera acuminata","Afr.Fern. & P.Bezerra",NA
"Swartzia myrtifolia var. peruviana","Sm.","R.S.Cowan"
"Exostyles amazonica","Yakovlev",NA
"Swartzia xanthopetala","Sandwith",NA
"Swartzia caudata","R.S.Cowan",NA
"Swartzia costata","(Rusby) R.S.Cowan",NA
"Swartzia froesii","R.S.Cowan",NA
"Swartzia prolata","R.S.Cowan",NA
"Chamaecrista coriacea","(Benth.) H.S.Irwin & Barneby",NA
"Chamaecrista catharticoides","(H.S.Irwin & Barneby) H.S.Irwin & Barneby",NA
"Chamaecrista trachycarpa var. trachycarpa","(Vogel) H.S.Irwin & Barneby",NA
"Chamaecrista trachycarpa var. acutifolia","(Vogel) H.S.Irwin & Barneby","(Benth.) H.S.Irwin & Barneby"
"Chamaecrista pilicarpa","(Glaz. ex Harms) H.S.Irwin & Barneby",NA
"Chamaecrista calixtana","(H.S.Irwin & Barneby) H.S.Irwin & Barneby",NA
"Lecointea peruviana var. peruviana","J.F.Macbr.",NA
"Mimosa calocephala var. pohlii","Mart.","(Benth.) Barneby"
"Mimosa foliolosa var. brevibractea","Benth.","Barneby"
"Mimosa foliolosa var. franciscana","Benth.","Barneby"
"Mimosa foliolosa var. vernicosa","Benth.","(Benth.) Barneby"
"Mimosa foliolosa var. pachycarpa","Benth.","(Benth.) Barneby"
"Mimosa foliolosa var. viscidula","Benth.","Barneby"
"Mimosa somnians var. lasiocarpa","Humb. & Bonpl. ex Willd.","(Benth.) Barneby"
"Mimosa somnians var. leptocaulis","Humb. & Bonpl. ex Willd.","(Benth.) Barneby"
"Mimosa diplotricha var. diplotricha","C.Wright ex Sauvalle",NA
"Mimosa gracilis var. capillipes","Benth.","(Benth.) Barneby"
"Mimosa gracilis var. stipitata","Benth.","Barneby"
"Mimosa dolens var. acerba","Vell.","(Benth.) Barneby"
"Mimosa dolens var. dolens","Vell.",NA
"Mimosa dolens var. rigida","Vell.","(Benth.) Barneby"
"Mimosa insidiosa var. insidiosa","Benth.",NA
"Mimosa xanthocentra var. subsericea","Mart.","(Benth.) Barneby"
"Mimosa xanthocentra var. xanthocentra","Mart.",NA
"Chamaecrista phyllostachya","(Benth.) H.S.Irwin & Barneby",NA
"Chamaecrista glaziovii","(Taub. ex Harms) H.S.Irwin & Barneby",NA
"Chamaecrista adamantina","(H.S.Irwin & Barneby) H.S.Irwin & Barneby",NA
"Chamaecrista virginis","(H.S.Irwin & Barneby) H.S.Irwin & Barneby",NA
"Chamaecrista fuscescens","(Benth.) H.S.Irwin & Barneby",NA
"Chamaecrista setosa var. paucivenia","(Vogel) H.S.Irwin & Barneby","(H.S.Irwin & Barneby) H.S.Irwin & Barneby"
"Senna paradictyon","(Vogel) H.S.Irwin",NA
"Senna pallida","(Vahl) H.S.Irwin & Barneby",NA
"Senna pallida var. pallida","(Vahl) H.S.Irwin & Barneby",NA
"Chamaecrista multipennis","(H.S.Irwin & Barneby) H.S.Irwin & Barneby",NA
"Chamaecrista ciliolata var. ciliolata","(Benth.) H.S.Irwin & Barneby",NA
"Chamaecrista ciliolata var. pulchella","(Benth.) H.S.Irwin & Barneby","(H.S.Irwin & Barneby) H.S.Irwin & Barneby"
"Chamaecrista ciliolata var. caprina","(Benth.) H.S.Irwin & Barneby","(H.S.Irwin & Barneby) H.S.Irwin & Barneby"
"Chamaecrista itabiritoana","(H.S.Irwin & Barneby) H.S.Irwin & Barneby",NA
"Chamaecrista hassleri","(H.S.Irwin & Barneby) H.S.Irwin & Barneby",NA
"Chamaecrista ochnacea var. mollis","(Vogel) H.S.Irwin & Barneby","(H.S.Irwin & Barneby) H.S.Irwin & Barneby"
"Chamaecrista geraldii","(H.S.Irwin & Barneby) H.S.Irwin & Barneby",NA
"Chamaecrista vauthieri","(Benth.) H.S.Irwin & Barneby",NA
"Chamaecrista cotinifolia var. cotinifolia","(G.Don) H.S.Irwin & Barneby",NA
"Chamaecrista cotinifolia var. leptodictya","(G.Don) H.S.Irwin & Barneby","(H.S.Irwin & Barneby) H.S.Irwin & Barneby"
"Chamaecrista cotinifolia var. glaberrima","(G.Don) H.S.Irwin & Barneby","(Hoehne ex H.S.Irwin & Barneby) H.S.Irwin & Barneby"
"Chamaecrista myrophenges","(H.S.Irwin & Barneby) H.S.Irwin & Barneby",NA
"Chamaecrista caracensis","(Taub. ex H.S.Irwin & Barneby) H.S.Irwin & Barneby",NA
"Chamaecrista kirkbridei","(H.S.Irwin & Barneby) H.S.Irwin & Barneby",NA
"Chamaecrista incurvata var. zanclodes","(Benth.) H.S.Irwin & Barneby","(H.S.Irwin & Barneby) H.S.Irwin & Barneby"
"Chamaecrista monticola","(Mart. ex Benth.) H.S.Irwin & Barneby",NA
"Chamaecrista catapodia","(H.S.Irwin & Barneby) H.S.Irwin & Barneby",NA
"Chamaecrista ericifolia","(Benth.) H.S.Irwin & Barneby",NA
"Chamaecrista egleri","(H.S.Irwin & Barneby) H.S.Irwin & Barneby",NA
"Chamaecrista viscosa var. paraguayensis","(Kunth) H.S.Irwin & Barneby","(Chodat & Hassl.) H.S.Irwin & Barneby"
"Chamaecrista absus var. absus","(L.) H.S.Irwin & Barneby",NA
"Chamaecrista adiantifolia var. adiantifolia","(Spruce ex Benth.) H.S.Irwin & Barneby",NA
"Chamaecrista desvauxii var. saxatilis","(Collad.) Killip","(Amshoff) H.S.Irwin & Barneby"
"Chamaecrista aiarana","(H.S.Irwin) H.S.Irwin & Barneby",NA
"Adesmia bicolor","(Poir.) DC.",NA
"Adesmia securigerifolia","Herter",NA
"Adesmia riograndensis","Miotto",NA
"Adesmia muricata","(Jacq.) DC.",NA
"Trifolium argentinense","Speg.",NA
"Trifolium polymorphum","Poir.",NA
"Vicia graminea var. nigricarpa","Sm.","Bastos & Miotto"
"Vicia graminea var. graminea","Sm.",NA
"Vicia epetiolaris","Burkart",NA
"Vicia pampicola","Burkart",NA
"Chamaecrista cotinifolia var. percoriacea","(G.Don) H.S.Irwin & Barneby","(H.S.Irwin & Barneby) H.S.Irwin & Barneby"
"Lathyrus subulatus","Lam.",NA
"Chamaecrista hymenaeifolia","(Benth.) H.S.Irwin & Barneby",NA
"Senna leiophylla","(Vogel) H.S.Irwin & Barneby",NA
"Senna paraensis","(Ducke) H.S.Irwin & Barneby",NA
"Chamaecrista polystachya","(Benth.) H.S.Irwin & Barneby",NA
"Chamaecrista ramosa var. ventuarensis","(Vogel) H.S.Irwin & Barneby","(H.S.Irwin) H.S.Irwin & Barneby"
"Chamaecrista subpeltata","(Rizzini) H.S.Irwin & Barneby",NA
"Senna organensis var. friburgensis","(Glaz. ex Harms) H.S.Irwin","H.S.Irwin & Barneby"
"Senna organensis var. heterandra","(Glaz. ex Harms) H.S.Irwin","H.S.Irwin & Barneby"
"Senna organensis var. organensis","(Glaz. ex Harms) H.S.Irwin",NA
"Senna pendula var. paludicola","(Humb.& Bonpl.ex Willd.) H.S.Irwin & Barneby","H.S.Irwin & Barneby"
"Senna pendula var. recondita","(Humb.& Bonpl.ex Willd.) H.S.Irwin & Barneby","H.S.Irwin & Barneby"
"Senna pendula var. ambigua","(Humb.& Bonpl.ex Willd.) H.S.Irwin & Barneby","H.S.Irwin & Barneby"
"Senna pilifera var. tubata","(Vogel) H.S.Irwin & Barneby","H.S.Irwin & Barneby"
"Erythrina mulungu","Mart.",NA
"Erythrina similis","Krukoff",NA
"Lupinus decurrens","Gardner",NA
"Senna spinescens var. schultesiana","(Hoffmanns.ex Vogel) H.S.Irwin & Barneby","H.S.Irwin & Barneby"
"Senegalia bonariensis","(Gillies ex Hook. & Arn.) Seigler & Ebinger",NA
"Senegalia klugii","(Standl. ex J.F.Macbr.) Seigler & Ebinger",NA
"Senegalia loretensis","(J.F.Macbr.) Seigler & Ebinger",NA
"Senegalia macbridei","(Britton & Rose ex J.F.Macbr.) Seigler & Ebinger",NA
"Senegalia parviceps","(Speg.) Seigler & Ebinger",NA
"Cassia cowanii var. cowanii","H.S.Irwin & Barneby",NA
"Abarema microcalyx var. microcalyx","(Spruce ex Benth.) Barneby & J.W.Grimes",NA
"Abarema levelii","(R.S.Cowan) Barneby & J.W.Grimes",NA
"Chamaecrista conferta var. gurgueiana","(Benth.) H.S.Irwin & Barneby","Afr.Fern. & E.P.Nunes"
"Chamaecrista confertiformis","(H.S.Irwin & Barneby) Conc. et al.",NA
"Chamaecrista unijuga","(Benth.) Conc. et al.",NA
"Chamaecrista blanchetii","(Benth.) Conc. et al.",NA
"Chamaecrista brachystachya","(Benth.) Conc. et al.",NA
"Chamaecrista decora","(H.S.Irwin & Barneby) Conc. et al.",NA
"Senna nana","(Benth.) H.S.Irwin & Barneby",NA
"Chamaecrista glandulosa var. flavicoma","(L.) Greene","(Kunth) H.S.Irwin & Barneby"
"Chamaecrista glandulosa var. glandulosa","(L.) Greene",NA
"Chamaecrista verruculosa","Afr.Fern. & E.P.Nunes",NA
"Mimosa paraguariae var. paraguariae","Micheli",NA
"Mimosa paraguariae var. chacoensis","Micheli","Hassl."
"Mimosa cruenta","Benth.",NA
"Mimosa pilulifera var. pilulifera","Benth.",NA
"Senna septemtrionalis","(Viv.) H.S.Irwin & Barneby",NA
"Senna hilariana","(Benth.) H.S.Irwin & Barneby",NA
"Senna bracteosa","D.B.O.S.Cardoso & L.P.Queiroz",NA
"Senna alexandrina","Mill.",NA
"Senna neglecta var. neglecta","(Vogel) H.S.Irwin & Barneby",NA
"Senna neglecta var. oligophylla","(Vogel) H.S.Irwin & Barneby","(Benth.) H.S.Irwin & Barneby"
"Senna scabriuscula","(Vogel) H.S.Irwin & Barneby",NA
"Senna biglandularis","A.O.Araujo",NA
"Zornia subsessilis","Fort.-Perez & A.M.G.Azevedo",NA
"Zornia guanipensis","Pittier",NA
"Zornia villosa","(Malme) Herter",NA
"Bauhinia bicolor","(Bong.) Steud.",NA
"Zornia echinata","Mohlenbr.",NA
"Pithecellobium roseum","(Vahl) Barneby & J.W.Grimes",NA
"Pithecellobium roseum var. roseum","(Vahl) Barneby & J.W.Grimes",NA
"Dipteryx charapilla","(J.F.Macbr.) Ducke",NA
"Tachigali amplifolia","(Ducke) Barneby",NA
"Tachigali barnebyi","van der Werff",NA
"Tachigali bicornuta","van der Werff",NA
"Tachigali bracteosa","(Harms) Zarucchi & Pipoly",NA
"Tachigali candelabrum","van der Werff",NA
"Tachigali chrysaloides","van der Werff",NA
"Tachigali chrysophylla","(Poepp.) Zarucchi & Herend.",NA
"Tachigali fusca","van der Werff",NA
"Tachigali glauca","Tul.",NA
"Tachigali goeldiana","(Huber) L.G.Silva & H.C.Lima",NA
"Tachigali leiocalyx","(Ducke) L.G.Silva & H.C.Lima",NA
"Tachigali macbridei","Zarucchi & Herend.",NA
"Tachigali macropetala","(Ducke) L.G.Silva & H.C.Lima",NA
"Tachigali melanocarpa","(Ducke) van der Werff",NA
"Tachigali melinonii","(Harms) Zarucchi & Herend.",NA
"Tachigali micropetala","(Ducke) Zarucchi & Pipoly",NA
"Tachigali odoratissima","(Benth.) Zarucchi & Herend.",NA
"Tachigali paraensis","(Huber) Barneby",NA
"Tachigali peruviana","(Dwyer) Zarucchi & Herend.",NA
"Tachigali physophora","(Huber) Zarucchi & Herend.",NA
"Tachigali poeppigiana","Tul.",NA
"Tachigali prancei","(H.S.Irwin & Arroyo) L.G.Silva & H.C.Lima",NA
"Tachigali richardiana","Tul.",NA
"Tachigali setifera","(Ducke) Zarucchi & Herend.",NA
"Tachigali subvelutina","(Benth.) Oliveira-Filho",NA
"Tachigali rubiginosa","(Mart. ex Tul.) Oliveira-Filho",NA
"Tachigali tinctoria","(Benth.) Zarucchi & Herend.",NA
"Tachigali vaupesiana","van der Werff",NA
"Tephrosia marginata","Hassl.",NA
"Diplotropis purpurea var. purpurea","(Rich.) Amshoff",NA
"Dalbergia villosa var. barretoana","(Benth.) Benth.","(Hoehne) A.M.Carvalho"
"Dalbergia foliosa","(Benth.) A.M.Carvalho",NA
"Dalbergia monophylla","Black",NA
"Taralea cordata var. rigida","Ducke","(Schery) H.C.Lima"
"Guibourtia chodatiana","Hassl.",NA
"Paramachaerium krukovii","Rudd",NA
"Pterocarpus santalinoides","L'Hér. ex DC.",NA
"Pterocarpus officinalis subsp. officinalis","Jacq.",NA
"Pterodon apparicioi","Pedersoli",NA
"Recordoxylon speciosum","(Benoist) Gazel ex Barneby",NA
"Alexa imperatricis","(R.H.Schomb.) Baill.",NA
"Campsiandra angustifolia var. angustifolia","Spruce ex Benth.",NA
"Campsiandra angustifolia var. rosea","Spruce ex Benth.","(Poepp. & Endl.) Stergios"
"Campsiandra chigo-montero","Stergios",NA
"Campsiandra gomez-alvareziana","Stergios",NA
"Campsiandra implexicaulis","Stergios",NA
"Campsiandra nutans","Stergios",NA
"Poiretia coriifolia","Vogel",NA
"Dicorynia paraensis var. uaupensis","Benth.","(Spruce ex Benth.) Koeppen"
"Machaerium biovulatum","Micheli",NA
"Machaerium latifolium","Rusby",NA
"Dicymbe uaiparuensis","R.S.Cowan",NA
"Dimorphandra conjugata","(Splitg.) Sandwith",NA
"Dimorphandra unijuga","Tul.",NA
"Dimorphandra cuprea subsp. cuprea","Sprague & Sandwith",NA
"Dimorphandra cuprea subsp. ferruginea","Sprague & Sandwith","(Ducke) M.F.Silva"
"Dimorphandra cuprea subsp. velutina","Sprague & Sandwith","(Ducke) M.F.Silva"
"Dimorphandra macrostachya subsp. macrostachya","Benth.",NA
"Dimorphandra macrostachya subsp. glabrifolia","Benth.","(Ducke) M.F.Silva"
"Dimorphandra polyandra","Benoist",NA
"Platypodium elegans subsp. maxonianum","Vogel","(Pittier) H.C.Lima"
"Platypodium elegans subsp. elegans","Vogel",NA
"Discolobium pulchellum","Benth.",NA
"Sophora tomentosa subsp. littoralis","L.","(Schrad.) Yakovlev"
"Platymiscium trinitatis subsp. nigrum","Benth.","(Ducke) Klitg."
"Leptolobium nitens","Vogel",NA
"Leptolobium parvifolium","(Harms) Sch.Rodr. & A.M.G.Azevedo",NA
"Leptolobium stirtonii","(Aymard & V.González) Sch.Rodr. & A.M.G.Azevedo",NA
"Crotalaria balansae","Micheli",NA
"Crotalaria claussenii","Benth.",NA
"Machaerium cuspidatum","Kuhlm. & Hoehne",NA
"Crotalaria irwinii","Windler & S.G.Skinner",NA
"Crotalaria laeta","Mart. ex Benth.",NA
"Mimosa annularis var. annularis","Spruce ex Benth.",NA
"Crotalaria martiana","Benth.",NA
"Mimosa annularis var. xinguensis","Spruce ex Benth.","(Ducke) Barneby"
"Crotalaria martiana subsp. martiana","Benth.",NA
"Crotalaria martiana subsp. mohlenbrockii","Benth.","(Windler & S.G.Skinner) Planchuelo"
"Crotalaria sagittalis","L.",NA
"Crotalaria trichotoma","Bojer",NA
"Crotalaria tweediana","Benth.",NA
"Crotalaria virgulata","Klotzsch",NA
"Cleobulia diocleoides","Benth.",NA
"Erythrostemon",NA,NA
"Erythrostemon calycina","(Benth.) L.P.Queiroz",NA
"Libidibia",NA,NA
"Libidibia ferrea","(Mart. ex Tul.) L.P.Queiroz",NA
"Libidibia ferrea var. ferrea","(Mart. ex Tul.) L.P.Queiroz",NA
"Libidibia ferrea var. glabrescens","(Mart. ex Tul.) L.P.Queiroz","(Benth.) L.P.Queiroz"
"Libidibia ferrea var. parvifolia","(Mart. ex Tul.) L.P.Queiroz","(Benth.) L.P.Queiroz"
"Libidibia paraguariensis","(D.Parodi) G.P.Lewis",NA
"Stylosanthes maracajuensis","Sousa Costa & Van den Berg",NA
"Stylosanthes ruellioides","Mart. ex Benth.",NA
"Guilandina major","(DC.) Small",NA
"Stylosanthes longicarpa","Brandão & Sousa Costa",NA
"Canavalia concinna","Sauer",NA
"Canavalia picta var. picta","Mart. ex Benth.",NA
"Platymiscium floribundum var. latifolium","Vogel","(Benth.) Benth."
